[03-22-2016 19:15:10.295] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(283) - User entered some password
[03-22-2016 19:15:10.295] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(288) - Connection with username, password, and host
[03-22-2016 19:15:10.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(142) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:127.0.0.1
[03-22-2016 19:15:10.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:15:10.296] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: 127.0.0.1 database:mysql port:3306
[03-22-2016 19:15:10.296] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:15:10.296] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:15:10.313] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:15:10.646] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(149) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=127.0.0.1, database=mysql, port=3306]
[03-22-2016 19:15:10.680] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(312) - Created and returning a SQLPlusConnection SQLPlusConnection [username=root, host=127.0.0.1, database=mysql, port=3306]
[03-22-2016 19:15:13.971] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(164) - Will execute a query from the user
[03-22-2016 19:15:13.971] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
